Created on 05-19-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-05-19 12-AM,LTCETH,0.1956,0.1956,0.1956,0.1956,0.0,0.0
2018-05-18 11-PM,LTCETH,0.1975,0.1975,0.1953,0.1956,23.56,4.61
2018-05-18 10-PM,LTCETH,0.1968,0.1975,0.1968,0.1975,0.09773,0.01927
2018-05-18 09-PM,LTCETH,0.199,0.1991,0.1968,0.1968,52.41,10.4
2018-05-18 08-PM,LTCETH,0.1984,0.1991,0.1979,0.199,73.99,14.7
2018-05-18 07-PM,LTCETH,0.1961,0.1984,0.1961,0.1984,85.66,16.96
2018-05-18 06-PM,LTCETH,0.1949,0.1961,0.1949,0.1961,2.69,0.5262
2018-05-18 05-PM,LTCETH,0.1958,0.196,0.1949,0.1949,55.6,10.9
2018-05-18 04-PM,LTCETH,0.1953,0.1958,0.1953,0.1958,1.85,0.3613
2018-05-18 03-PM,LTCETH,0.1953,0.1955,0.1953,0.1953,14.45,2.82
2018-05-18 02-PM,LTCETH,0.1943,0.1953,0.1932,0.1953,12.25,2.38
2018-05-18 01-PM,LTCETH,0.1937,0.195,0.1937,0.1943,22.75,4.42
2018-05-18 12-PM,LTCETH,0.1955,0.1955,0.1937,0.1937,20.86,4.06
2018-05-18 11-AM,LTCETH,0.194,0.1955,0.194,0.1955,21.87,4.26
2018-05-18 10-AM,LTCETH,0.1947,0.1957,0.194,0.194,33.78,6.57
2018-05-18 09-AM,LTCETH,0.1947,0.1948,0.1947,0.1947,73.92,14.4
2018-05-18 08-AM,LTCETH,0.196,0.196,0.1947,0.1947,19.38,3.77
2018-05-18 07-AM,LTCETH,0.1947,0.196,0.1947,0.196,6.25,1.22
2018-05-18 06-AM,LTCETH,0.1953,0.196,0.1947,0.1947,34.61,6.74
2018-05-18 05-AM,LTCETH,0.1947,0.1953,0.1947,0.1953,40.66,7.93
2018-05-18 04-AM,LTCETH,0.1955,0.1966,0.1947,0.1947,2.99,0.5836
2018-05-18 03-AM,LTCETH,0.1947,0.1955,0.1947,0.1955,7.87,1.53
2018-05-18 02-AM,LTCETH,0.1947,0.1965,0.1947,0.1947,35.53,6.92
2018-05-18 01-AM,LTCETH,0.196,0.196,0.1947,0.1947,210.72,41.04
2018-05-18 12-AM,LTCETH,0.197,0.1987,0.1951,0.196,60.0,11.8
2018-05-17 11-PM,LTCETH,0.1989,0.1989,0.197,0.197,0.1469,0.02893
2018-05-17 10-PM,LTCETH,0.1963,0.1989,0.1963,0.1989,67.7,13.37
2018-05-17 09-PM,LTCETH,0.1955,0.1963,0.195,0.1963,48.62,9.54
2018-05-17 08-PM,LTCETH,0.1963,0.1976,0.1951,0.1955,9.65,1.89
2018-05-17 07-PM,LTCETH,0.1978,0.1978,0.1963,0.1963,2.92,0.5729
2018-05-17 06-PM,LTCETH,0.198,0.1989,0.1969,0.1978,2.83,0.5588
2018-05-17 05-PM,LTCETH,0.1963,0.198,0.1963,0.198,12.22,2.41
2018-05-17 04-PM,LTCETH,0.1965,0.1982,0.1963,0.1963,4.23,0.8321
2018-05-17 03-PM,LTCETH,0.1963,0.1989,0.1963,0.1965,68.9,13.63
2018-05-17 02-PM,LTCETH,0.1961,0.198,0.1961,0.1963,29.48,5.79
2018-05-17 01-PM,LTCETH,0.1978,0.1978,0.1961,0.1961,2.24,0.4423
2018-05-17 12-PM,LTCETH,0.1973,0.1978,0.1973,0.1978,80.23,15.83
2018-05-17 11-AM,LTCETH,0.1961,0.1973,0.1961,0.1973,29.39,5.77
2018-05-17 10-AM,LTCETH,0.1954,0.1973,0.1954,0.1961,63.78,12.52
2018-05-17 09-AM,LTCETH,0.1954,0.1967,0.195,0.1954,3.52,0.6877
2018-05-17 08-AM,LTCETH,0.1965,0.1965,0.1954,0.1954,11.86,2.33
2018-05-17 07-AM,LTCETH,0.1955,0.1965,0.1955,0.1965,14.44,2.83
2018-05-17 06-AM,LTCETH,0.1947,0.1955,0.1947,0.1955,15.58,3.04
2018-05-17 05-AM,LTCETH,0.1952,0.1964,0.1947,0.1947,193.92,37.78
