Created on 05-19-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-05-19 12-AM,NEOETH,0.08575,0.086,0.08575,0.086,234.26,20.09
2018-05-18 11-PM,NEOETH,0.08629,0.08645,0.08575,0.08575,4.24,0.365
2018-05-18 10-PM,NEOETH,0.08669,0.08738,0.08601,0.08629,30.07,2.6
2018-05-18 09-PM,NEOETH,0.08761,0.0879,0.0866,0.08669,174.08,15.22
2018-05-18 08-PM,NEOETH,0.0869,0.08761,0.08671,0.08761,21.87,1.91
2018-05-18 07-PM,NEOETH,0.08472,0.0869,0.08472,0.0869,49.6,4.27
2018-05-18 06-PM,NEOETH,0.0847,0.086,0.0846,0.08472,32.91,2.79
2018-05-18 05-PM,NEOETH,0.08532,0.08532,0.0847,0.0847,266.32,22.66
2018-05-18 04-PM,NEOETH,0.08576,0.08654,0.08532,0.08532,63.33,5.42
2018-05-18 03-PM,NEOETH,0.0855,0.08722,0.0855,0.08576,28.93,2.51
2018-05-18 02-PM,NEOETH,0.08651,0.08651,0.08549,0.0855,25.68,2.21
2018-05-18 01-PM,NEOETH,0.08616,0.08651,0.08561,0.08651,74.63,6.43
2018-05-18 12-PM,NEOETH,0.08613,0.0862,0.0853,0.08616,149.22,12.83
2018-05-18 11-AM,NEOETH,0.0852,0.08613,0.0852,0.08613,13.9,1.2
2018-05-18 10-AM,NEOETH,0.08528,0.08601,0.0852,0.0852,19.67,1.68
2018-05-18 09-AM,NEOETH,0.08587,0.08587,0.08524,0.08528,76.54,6.54
2018-05-18 08-AM,NEOETH,0.08587,0.0867,0.08587,0.08587,63.84,5.49
2018-05-18 07-AM,NEOETH,0.0864,0.08699,0.08587,0.08587,9.5,0.8235
2018-05-18 06-AM,NEOETH,0.08671,0.087,0.08622,0.0864,57.98,5.02
2018-05-18 05-AM,NEOETH,0.08632,0.087,0.08632,0.08671,35.93,3.13
2018-05-18 04-AM,NEOETH,0.08633,0.08633,0.0861,0.08632,6.87,0.5916
2018-05-18 03-AM,NEOETH,0.0864,0.08693,0.0861,0.08633,12.02,1.04
2018-05-18 02-AM,NEOETH,0.08647,0.08647,0.08631,0.0864,5.45,0.4705
2018-05-18 01-AM,NEOETH,0.08695,0.087,0.08647,0.08647,10.09,0.8776
2018-05-18 12-AM,NEOETH,0.08621,0.08695,0.08587,0.08695,22.53,1.95
