Created on 05-19-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-05-19 12-AM,OMGETH,0.0182,0.0182,0.01807,0.01807,1.11,0.02013
2018-05-18 11-PM,OMGETH,0.01824,0.01824,0.0181,0.0182,96.13,1.74
2018-05-18 10-PM,OMGETH,0.01835,0.01835,0.0181,0.01824,408.41,7.45
2018-05-18 09-PM,OMGETH,0.01822,0.01835,0.01819,0.01835,51.86,0.9472
2018-05-18 08-PM,OMGETH,0.01814,0.01833,0.01814,0.01822,7.75,0.1418
2018-05-18 07-PM,OMGETH,0.01827,0.01828,0.01813,0.01814,85.26,1.55
2018-05-18 06-PM,OMGETH,0.0182,0.01827,0.0181,0.01827,32.38,0.5898
2018-05-18 05-PM,OMGETH,0.018,0.0182,0.018,0.0182,94.42,1.72
2018-05-18 04-PM,OMGETH,0.018,0.018,0.018,0.018,67.54,1.22
2018-05-18 03-PM,OMGETH,0.01806,0.01817,0.018,0.018,376.61,6.79
2018-05-18 02-PM,OMGETH,0.01843,0.01843,0.018,0.01806,618.09,11.2
2018-05-18 01-PM,OMGETH,0.01873,0.01873,0.01843,0.01843,973.69,18.09
2018-05-18 12-PM,OMGETH,0.01841,0.01873,0.01841,0.01873,41.93,0.7828
2018-05-18 11-AM,OMGETH,0.01844,0.01844,0.01841,0.01841,28.86,0.5322
2018-05-18 10-AM,OMGETH,0.01856,0.01856,0.01844,0.01844,201.87,3.72
2018-05-18 09-AM,OMGETH,0.01875,0.01875,0.01856,0.01856,174.59,3.27
2018-05-18 08-AM,OMGETH,0.01829,0.01875,0.01829,0.01875,238.5,4.45
2018-05-18 07-AM,OMGETH,0.01806,0.01829,0.01806,0.01829,250.37,4.57
2018-05-18 06-AM,OMGETH,0.01825,0.01825,0.01806,0.01806,3.97,0.07179
2018-05-18 05-AM,OMGETH,0.01814,0.01825,0.0181,0.01825,74.06,1.35
2018-05-18 04-AM,OMGETH,0.01834,0.01834,0.0181,0.01814,122.99,2.23
2018-05-18 03-AM,OMGETH,0.01827,0.01835,0.01821,0.01834,52.18,0.9527
2018-05-18 02-AM,OMGETH,0.01819,0.01827,0.01812,0.01827,204.65,3.73
2018-05-18 01-AM,OMGETH,0.01826,0.01826,0.01819,0.01819,515.46,9.38
2018-05-18 12-AM,OMGETH,0.01832,0.01845,0.0182,0.01826,306.69,5.59
2018-05-17 11-PM,OMGETH,0.01864,0.01864,0.01824,0.01832,845.19,15.68
2018-05-17 10-PM,OMGETH,0.01842,0.01864,0.01824,0.01864,2005.03,37.24
2018-05-17 09-PM,OMGETH,0.01844,0.01844,0.0183,0.01842,249.46,4.59
2018-05-17 08-PM,OMGETH,0.01843,0.01844,0.01843,0.01844,58.72,1.08
2018-05-17 07-PM,OMGETH,0.01836,0.01856,0.01836,0.01843,133.82,2.48
2018-05-17 06-PM,OMGETH,0.0186,0.01866,0.01834,0.01836,812.5,14.95
2018-05-17 05-PM,OMGETH,0.01847,0.0186,0.01847,0.0186,0.5018,0.009331
2018-05-17 04-PM,OMGETH,0.01845,0.01847,0.01845,0.01847,40.0,0.7387
2018-05-17 03-PM,OMGETH,0.01853,0.01853,0.01845,0.01845,160.54,2.97
2018-05-17 02-PM,OMGETH,0.0185,0.01866,0.01842,0.01853,153.49,2.84
2018-05-17 01-PM,OMGETH,0.0185,0.0185,0.0185,0.0185,0.0,0.0
2018-05-17 12-PM,OMGETH,0.0189,0.0189,0.01835,0.0185,707.65,13.13
2018-05-17 11-AM,OMGETH,0.01898,0.01924,0.0189,0.0189,395.97,7.57
2018-05-17 10-AM,OMGETH,0.01891,0.01898,0.0187,0.01898,29.34,0.5524
2018-05-17 09-AM,OMGETH,0.0188,0.01892,0.0186,0.01891,364.14,6.79
2018-05-17 08-AM,OMGETH,0.0188,0.0188,0.0188,0.0188,0.0,0.0
2018-05-17 07-AM,OMGETH,0.0188,0.01894,0.01863,0.0188,923.64,17.31
2018-05-17 06-AM,OMGETH,0.01877,0.01896,0.0187,0.0188,456.72,8.59
2018-05-17 05-AM,OMGETH,0.01877,0.01877,0.01877,0.01877,100.83,1.89
2018-05-17 04-AM,OMGETH,0.01887,0.01887,0.01877,0.01877,0.5707,0.01071
2018-05-17 03-AM,OMGETH,0.01877,0.01893,0.01877,0.01887,136.74,2.58
2018-05-17 02-AM,OMGETH,0.01874,0.01893,0.01874,0.01877,114.87,2.16
