Created on 05-19-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-05-19 12-AM,PAYETH,0.001902,0.001917,0.001902,0.001917,3.0,0.00575
2018-05-18 11-PM,PAYETH,0.001902,0.001902,0.001902,0.001902,26.23,0.04987
2018-05-18 10-PM,PAYETH,0.001903,0.001903,0.0019,0.001902,6.05,0.0115
2018-05-18 09-PM,PAYETH,0.001943,0.001943,0.001903,0.001903,567.2,1.1
2018-05-18 08-PM,PAYETH,0.0019,0.001943,0.0019,0.001943,716.59,1.37
2018-05-18 07-PM,PAYETH,0.0019,0.0019,0.0019,0.0019,404.77,0.7689
2018-05-18 06-PM,PAYETH,0.001912,0.001912,0.0019,0.0019,1057.79,2.01
2018-05-18 05-PM,PAYETH,0.00194,0.00194,0.001912,0.001912,161.55,0.3096
2018-05-18 04-PM,PAYETH,0.001898,0.00194,0.001898,0.00194,13.14,0.02549
2018-05-18 03-PM,PAYETH,0.001897,0.001996,0.001897,0.001898,2537.34,4.9
2018-05-18 02-PM,PAYETH,0.001918,0.001918,0.001897,0.001897,17.31,0.03284
2018-05-18 01-PM,PAYETH,0.001923,0.001923,0.001918,0.001918,4.95,0.009503
2018-05-18 12-PM,PAYETH,0.001925,0.001925,0.001923,0.001923,45.05,0.08661
2018-05-18 11-AM,PAYETH,0.001925,0.001925,0.001925,0.001925,0.0,0.0
2018-05-18 10-AM,PAYETH,0.001852,0.001925,0.001852,0.001925,318.0,0.6121
2018-05-18 09-AM,PAYETH,0.001852,0.001852,0.001852,0.001852,0.0,0.0
2018-05-18 08-AM,PAYETH,0.001868,0.0019,0.001852,0.001852,3760.14,7.07
2018-05-18 07-AM,PAYETH,0.001868,0.0019,0.001868,0.001868,2277.94,4.26
2018-05-18 06-AM,PAYETH,0.001868,0.001868,0.001868,0.001868,1046.8,1.96
2018-05-18 05-AM,PAYETH,0.001841,0.001868,0.001841,0.001868,200.07,0.3737
2018-05-18 04-AM,PAYETH,0.001841,0.001841,0.001841,0.001841,0.0,0.0
2018-05-18 03-AM,PAYETH,0.001818,0.00185,0.001818,0.001841,104.51,0.1924
2018-05-18 02-AM,PAYETH,0.001879,0.001879,0.001811,0.001818,3296.22,6.02
2018-05-18 01-AM,PAYETH,0.00186,0.001879,0.001851,0.001879,3285.88,6.09
2018-05-18 12-AM,PAYETH,0.001904,0.001913,0.00186,0.00186,2130.81,3.99
2018-05-17 11-PM,PAYETH,0.001904,0.001904,0.001904,0.001904,0.0,0.0
2018-05-17 10-PM,PAYETH,0.001925,0.001925,0.001875,0.001904,7440.35,14.13
2018-05-17 09-PM,PAYETH,0.001941,0.001941,0.001925,0.001925,463.52,0.8925
2018-05-17 08-PM,PAYETH,0.001979,0.001979,0.001925,0.001941,517.87,1.01
2018-05-17 07-PM,PAYETH,0.001925,0.00198,0.001925,0.001979,479.43,0.9269
2018-05-17 06-PM,PAYETH,0.00198,0.00198,0.001925,0.001925,1801.12,3.47
2018-05-17 05-PM,PAYETH,0.00195,0.00198,0.00195,0.00198,631.23,1.25
2018-05-17 04-PM,PAYETH,0.00195,0.00195,0.00195,0.00195,0.0,0.0
2018-05-17 03-PM,PAYETH,0.001951,0.001967,0.00195,0.00195,1904.59,3.71
2018-05-17 02-PM,PAYETH,0.001979,0.001979,0.001951,0.001951,113.28,0.2224
2018-05-17 01-PM,PAYETH,0.002002,0.002002,0.001979,0.001979,1285.72,2.55
2018-05-17 12-PM,PAYETH,0.002002,0.002002,0.002002,0.002002,0.0,0.0
2018-05-17 11-AM,PAYETH,0.002002,0.002002,0.00195,0.002002,478.26,0.941
2018-05-17 10-AM,PAYETH,0.002002,0.002002,0.001965,0.002002,6195.93,12.38
2018-05-17 09-AM,PAYETH,0.001979,0.002002,0.00195,0.002002,7771.39,15.39
2018-05-17 08-AM,PAYETH,0.001979,0.001979,0.001979,0.001979,300.85,0.5955
2018-05-17 07-AM,PAYETH,0.00198,0.00198,0.001979,0.001979,1348.53,2.67
2018-05-17 06-AM,PAYETH,0.001998,0.002002,0.00198,0.00198,2635.14,5.22
2018-05-17 05-AM,PAYETH,0.001998,0.001998,0.001998,0.001998,689.0,1.38
2018-05-17 04-AM,PAYETH,0.001999,0.001999,0.00198,0.001998,4215.78,8.4
2018-05-17 03-AM,PAYETH,0.001975,0.001999,0.00195,0.001999,11362.06,22.4
2018-05-17 02-AM,PAYETH,0.001975,0.001975,0.001975,0.001975,340.32,0.6721
2018-05-17 01-AM,PAYETH,0.002,0.002015,0.001975,0.001975,1493.48,2.99
2018-05-17 12-AM,PAYETH,0.002021,0.002061,0.002,0.002,16568.28,33.35
2018-05-16 11-PM,PAYETH,0.002062,0.0021,0.002021,0.002021,905.13,1.86
2018-05-16 10-PM,PAYETH,0.002087,0.002135,0.002062,0.002062,271.99,0.5677
2018-05-16 09-PM,PAYETH,0.0021,0.002137,0.002087,0.002087,2120.84,4.43
2018-05-16 08-PM,PAYETH,0.002111,0.00216,0.0021,0.0021,1358.52,2.87
2018-05-16 07-PM,PAYETH,0.002069,0.00215,0.002062,0.002111,3667.18,7.71
2018-05-16 06-PM,PAYETH,0.002068,0.002069,0.002068,0.002069,8769.42,18.14
2018-05-16 05-PM,PAYETH,0.002,0.002068,0.002,0.002068,4980.16,10.23
2018-05-16 04-PM,PAYETH,0.002068,0.002068,0.002,0.002,6221.08,12.5
2018-05-16 03-PM,PAYETH,0.002069,0.00207,0.002036,0.002068,11064.88,22.73
2018-05-16 02-PM,PAYETH,0.00219,0.00219,0.002062,0.002069,6728.01,14.14
2018-05-16 01-PM,PAYETH,0.002108,0.00226,0.002107,0.00219,7946.84,17.63
2018-05-16 12-PM,PAYETH,0.002188,0.002188,0.00209,0.002108,8685.75,18.4
2018-05-16 11-AM,PAYETH,0.002421,0.002494,0.002168,0.002188,32446.48,73.48
2018-05-16 10-AM,PAYETH,0.00198,0.00275,0.00192,0.002421,119886.95,283.81
