Created on 05-19-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-05-19 12-AM,SALTETH,0.003994,0.003994,0.003994,0.003994,0.0,0.0
2018-05-18 11-PM,SALTETH,0.004018,0.004018,0.003994,0.003994,23.94,0.0956
2018-05-18 10-PM,SALTETH,0.004096,0.004096,0.004018,0.004018,10.78,0.04333
2018-05-18 09-PM,SALTETH,0.004096,0.004096,0.004096,0.004096,0.0,0.0
2018-05-18 08-PM,SALTETH,0.004096,0.004096,0.004096,0.004096,0.007939,3.252e-05
2018-05-18 07-PM,SALTETH,0.003994,0.004096,0.003994,0.004096,47.68,0.1941
2018-05-18 06-PM,SALTETH,0.004014,0.004014,0.003994,0.003994,1.23,0.004913
2018-05-18 05-PM,SALTETH,0.00408,0.00408,0.004014,0.004014,20.75,0.08333
2018-05-18 04-PM,SALTETH,0.004095,0.004095,0.00408,0.00408,19.89,0.08115
2018-05-18 03-PM,SALTETH,0.004074,0.004095,0.004074,0.004095,2.0,0.00819
2018-05-18 02-PM,SALTETH,0.004074,0.004074,0.004074,0.004074,0.0,0.0
2018-05-18 01-PM,SALTETH,0.004116,0.004116,0.004074,0.004074,86.25,0.3514
2018-05-18 12-PM,SALTETH,0.00406,0.004116,0.004041,0.004116,4015.67,16.24
2018-05-18 11-AM,SALTETH,0.004005,0.00406,0.004005,0.00406,27.99,0.1135
2018-05-18 10-AM,SALTETH,0.004005,0.004005,0.004005,0.004005,0.0,0.0
2018-05-18 09-AM,SALTETH,0.003981,0.004015,0.003981,0.004005,262.3,1.05
2018-05-18 08-AM,SALTETH,0.003981,0.003981,0.003981,0.003981,0.0,0.0
2018-05-18 07-AM,SALTETH,0.003981,0.003981,0.003981,0.003981,0.0,0.0
2018-05-18 06-AM,SALTETH,0.00397,0.003981,0.00397,0.003981,250.57,0.9975
2018-05-18 05-AM,SALTETH,0.003941,0.003974,0.003941,0.00397,754.66,3.0
2018-05-18 04-AM,SALTETH,0.003941,0.003941,0.003941,0.003941,0.0,0.0
2018-05-18 03-AM,SALTETH,0.003941,0.003941,0.003941,0.003941,0.0,0.0
2018-05-18 02-AM,SALTETH,0.003939,0.003943,0.003939,0.003941,1.8,0.007077
2018-05-18 01-AM,SALTETH,0.004063,0.004063,0.003939,0.003939,2.6,0.01024
2018-05-18 12-AM,SALTETH,0.003969,0.004063,0.003913,0.004063,292.5,1.17
2018-05-17 11-PM,SALTETH,0.004063,0.004063,0.003969,0.003969,56.45,0.2249
2018-05-17 10-PM,SALTETH,0.004092,0.004092,0.003997,0.004063,439.34,1.76
2018-05-17 09-PM,SALTETH,0.00406,0.004092,0.00406,0.004092,0.881,0.003605
2018-05-17 08-PM,SALTETH,0.00406,0.00406,0.00406,0.00406,0.0,0.0
2018-05-17 07-PM,SALTETH,0.0041,0.0041,0.00406,0.00406,222.84,0.9125
2018-05-17 06-PM,SALTETH,0.00416,0.004164,0.0041,0.0041,657.8,2.7
2018-05-17 05-PM,SALTETH,0.004187,0.004187,0.00416,0.00416,3.12,0.01299
2018-05-17 04-PM,SALTETH,0.00425,0.00425,0.004162,0.004187,100.84,0.4222
2018-05-17 03-PM,SALTETH,0.004283,0.004283,0.00425,0.00425,51.48,0.2191
2018-05-17 02-PM,SALTETH,0.00428,0.004283,0.00428,0.004283,213.13,0.9128
2018-05-17 01-PM,SALTETH,0.004321,0.00433,0.00428,0.00428,119.66,0.5171
2018-05-17 12-PM,SALTETH,0.004321,0.004321,0.004321,0.004321,0.0,0.0
2018-05-17 11-AM,SALTETH,0.004321,0.004321,0.004321,0.004321,0.01298,5.61e-05
2018-05-17 10-AM,SALTETH,0.004321,0.004321,0.004321,0.004321,0.0,0.0
2018-05-17 09-AM,SALTETH,0.004261,0.004321,0.004261,0.004321,5.18,0.02239
2018-05-17 08-AM,SALTETH,0.00423,0.004298,0.004213,0.004261,235.92,1.01
2018-05-17 07-AM,SALTETH,0.004178,0.00423,0.004178,0.00423,5.26,0.02226
2018-05-17 06-AM,SALTETH,0.004178,0.004178,0.004178,0.004178,0.0,0.0
2018-05-17 05-AM,SALTETH,0.004178,0.004178,0.004178,0.004178,0.0,0.0
2018-05-17 04-AM,SALTETH,0.004198,0.004198,0.004178,0.004178,12.04,0.05029
2018-05-17 03-AM,SALTETH,0.004198,0.004198,0.004172,0.004198,79.05,0.3299
2018-05-17 02-AM,SALTETH,0.004198,0.004198,0.004197,0.004198,100.0,0.4198
2018-05-17 01-AM,SALTETH,0.00418,0.004198,0.00418,0.004198,10.85,0.04543
2018-05-17 12-AM,SALTETH,0.004142,0.00418,0.004142,0.00418,4.0,0.01672
2018-05-16 11-PM,SALTETH,0.00412,0.004142,0.004101,0.004142,261.46,1.07
2018-05-16 10-PM,SALTETH,0.004132,0.004132,0.00412,0.00412,40.83,0.1686
2018-05-16 09-PM,SALTETH,0.00415,0.00415,0.004132,0.004132,29.25,0.121
2018-05-16 08-PM,SALTETH,0.004167,0.004167,0.00415,0.00415,35.23,0.1465
2018-05-16 07-PM,SALTETH,0.004277,0.004277,0.004167,0.004167,8.99,0.03753
2018-05-16 06-PM,SALTETH,0.004214,0.004277,0.004214,0.004277,207.56,0.879
2018-05-16 05-PM,SALTETH,0.00427,0.00427,0.004196,0.004214,151.3,0.6351
2018-05-16 04-PM,SALTETH,0.004283,0.004283,0.00422,0.00427,36.88,0.1557
2018-05-16 03-PM,SALTETH,0.004223,0.004283,0.004223,0.004283,29.02,0.1242
2018-05-16 02-PM,SALTETH,0.004341,0.004341,0.004167,0.004223,386.04,1.63
2018-05-16 01-PM,SALTETH,0.004385,0.004398,0.004266,0.004341,927.25,4.03
2018-05-16 12-PM,SALTETH,0.004293,0.004385,0.004293,0.004385,50.0,0.219
2018-05-16 11-AM,SALTETH,0.004368,0.004377,0.004293,0.004293,471.67,2.06
2018-05-16 10-AM,SALTETH,0.004391,0.004391,0.004368,0.004368,35.14,0.1542
2018-05-16 09-AM,SALTETH,0.004353,0.004439,0.004353,0.004391,1.76,0.007783
2018-05-16 08-AM,SALTETH,0.004353,0.004353,0.004241,0.004353,355.28,1.54
2018-05-16 07-AM,SALTETH,0.004353,0.004353,0.004353,0.004353,0.0,0.0
2018-05-16 06-AM,SALTETH,0.004304,0.004353,0.004304,0.004353,12.47,0.05429
2018-05-16 05-AM,SALTETH,0.004279,0.004304,0.004279,0.004304,30.85,0.1321
2018-05-16 04-AM,SALTETH,0.004279,0.004304,0.004279,0.004279,1663.72,7.12
2018-05-16 03-AM,SALTETH,0.00428,0.00428,0.00422,0.004279,385.93,1.64
2018-05-16 02-AM,SALTETH,0.004308,0.004308,0.00428,0.00428,136.22,0.5845
2018-05-16 01-AM,SALTETH,0.00439,0.00439,0.004308,0.004308,744.61,3.22
2018-05-16 12-AM,SALTETH,0.00438,0.00439,0.00435,0.00439,45.07,0.1968
2018-05-15 11-PM,SALTETH,0.00438,0.00438,0.00438,0.00438,0.0,0.0
2018-05-15 10-PM,SALTETH,0.00439,0.00439,0.00438,0.00438,2.01,0.008796
2018-05-15 09-PM,SALTETH,0.004461,0.004461,0.00439,0.00439,6.33,0.02784
2018-05-15 08-PM,SALTETH,0.004519,0.004566,0.0044,0.004461,1410.24,6.38
2018-05-15 07-PM,SALTETH,0.004519,0.004519,0.004519,0.004519,0.0,0.0
2018-05-15 06-PM,SALTETH,0.004576,0.004576,0.004519,0.004519,125.23,0.572
2018-05-15 05-PM,SALTETH,0.00455,0.004576,0.004529,0.004576,609.75,2.79
2018-05-15 04-PM,SALTETH,0.004636,0.004636,0.0045,0.00455,323.09,1.46
2018-05-15 03-PM,SALTETH,0.00464,0.004688,0.004592,0.004636,394.91,1.84
2018-05-15 02-PM,SALTETH,0.004886,0.004886,0.00464,0.00464,11191.38,52.59
2018-05-15 01-PM,SALTETH,0.00495,0.00495,0.004867,0.004886,262.09,1.28
2018-05-15 12-PM,SALTETH,0.00495,0.004999,0.00495,0.00495,846.13,4.21
2018-05-15 11-AM,SALTETH,0.004939,0.00495,0.00487,0.00495,308.54,1.53
2018-05-15 10-AM,SALTETH,0.004946,0.004946,0.004939,0.004939,721.84,3.57
2018-05-15 09-AM,SALTETH,0.004936,0.00495,0.004886,0.004946,672.62,3.31
2018-05-15 08-AM,SALTETH,0.004902,0.004936,0.004902,0.004936,309.17,1.52
2018-05-15 07-AM,SALTETH,0.004902,0.004902,0.004902,0.004902,0.0,0.0
2018-05-15 06-AM,SALTETH,0.004902,0.004902,0.004902,0.004902,271.17,1.33
2018-05-15 05-AM,SALTETH,0.004792,0.004902,0.004792,0.004902,233.05,1.13
2018-05-15 04-AM,SALTETH,0.004764,0.004792,0.004703,0.004792,348.82,1.67
2018-05-15 03-AM,SALTETH,0.00467,0.004764,0.00467,0.004764,692.8,3.24
2018-05-15 02-AM,SALTETH,0.004829,0.004829,0.00467,0.00467,346.16,1.62
2018-05-15 01-AM,SALTETH,0.004829,0.004829,0.004829,0.004829,11.99,0.0579
2018-05-15 12-AM,SALTETH,0.004763,0.00489,0.004743,0.004829,4251.83,20.51
2018-05-14 11-PM,SALTETH,0.004666,0.004763,0.004604,0.004763,2057.73,9.74
2018-05-14 10-PM,SALTETH,0.00487,0.00487,0.004666,0.004666,1847.29,8.64
2018-05-14 09-PM,SALTETH,0.004666,0.00487,0.004666,0.00487,231.57,1.12
2018-05-14 08-PM,SALTETH,0.004666,0.004666,0.004666,0.004666,0.0,0.0
2018-05-14 07-PM,SALTETH,0.00469,0.00469,0.004666,0.004666,261.58,1.22
2018-05-14 06-PM,SALTETH,0.004836,0.00487,0.00469,0.00469,4319.42,21.01
2018-05-14 05-PM,SALTETH,0.004744,0.004836,0.004744,0.004836,161.54,0.778
2018-05-14 04-PM,SALTETH,0.004738,0.004744,0.004666,0.004744,39.57,0.1868
2018-05-14 03-PM,SALTETH,0.004717,0.00481,0.004667,0.004738,314.74,1.49
2018-05-14 02-PM,SALTETH,0.004599,0.004717,0.004599,0.004717,617.01,2.9
2018-05-14 01-PM,SALTETH,0.00466,0.0047,0.004599,0.004599,8311.86,38.97
2018-05-14 12-PM,SALTETH,0.004377,0.00467,0.004377,0.00466,841.47,3.78
2018-05-14 11-AM,SALTETH,0.004292,0.00439,0.004292,0.004377,543.62,2.38
2018-05-14 10-AM,SALTETH,0.004292,0.004292,0.004292,0.004292,15.01,0.06441
2018-05-14 09-AM,SALTETH,0.004324,0.004324,0.004292,0.004292,64.16,0.2762
2018-05-14 08-AM,SALTETH,0.004292,0.004463,0.004292,0.004324,186.3,0.8224
2018-05-14 07-AM,SALTETH,0.004261,0.004298,0.004261,0.004292,78.14,0.3357
2018-05-14 06-AM,SALTETH,0.00422,0.004292,0.00422,0.004261,720.02,3.07
2018-05-14 05-AM,SALTETH,0.00422,0.00422,0.00422,0.00422,12.08,0.05098
2018-05-14 04-AM,SALTETH,0.00433,0.00433,0.00422,0.00422,502.52,2.14
2018-05-14 03-AM,SALTETH,0.004413,0.004413,0.00433,0.00433,368.93,1.62
2018-05-14 02-AM,SALTETH,0.00441,0.00445,0.00441,0.004413,314.56,1.4
2018-05-14 01-AM,SALTETH,0.004398,0.00441,0.004398,0.00441,26.63,0.1174
2018-05-14 12-AM,SALTETH,0.004398,0.004398,0.004398,0.004398,0.0,0.0
2018-05-13 11-PM,SALTETH,0.004375,0.004398,0.004314,0.004398,198.87,0.8713
2018-05-13 10-PM,SALTETH,0.004266,0.004375,0.004266,0.004375,35.11,0.151
2018-05-13 09-PM,SALTETH,0.00422,0.004266,0.00422,0.004266,38.96,0.1662
2018-05-13 08-PM,SALTETH,0.004282,0.004319,0.00422,0.00422,1261.42,5.39
2018-05-13 07-PM,SALTETH,0.004327,0.004327,0.004282,0.004282,2.33,0.00998
2018-05-13 06-PM,SALTETH,0.004362,0.004362,0.004272,0.004327,663.85,2.86
2018-05-13 05-PM,SALTETH,0.004362,0.004362,0.004362,0.004362,0.0,0.0
2018-05-13 04-PM,SALTETH,0.004441,0.004499,0.004362,0.004362,231.32,1.03
2018-05-13 03-PM,SALTETH,0.004453,0.004453,0.004441,0.004441,281.0,1.25
2018-05-13 02-PM,SALTETH,0.004459,0.004459,0.004453,0.004453,31.27,0.1394
2018-05-13 01-PM,SALTETH,0.004519,0.004553,0.004459,0.004459,57.04,0.2589
2018-05-13 12-PM,SALTETH,0.00452,0.004564,0.004395,0.004519,457.45,2.09
2018-05-13 11-AM,SALTETH,0.0045,0.00452,0.004435,0.00452,401.19,1.79
2018-05-13 10-AM,SALTETH,0.004277,0.0045,0.004267,0.0045,38184.81,168.29
2018-05-13 09-AM,SALTETH,0.004278,0.00437,0.004277,0.004277,2033.34,8.71
2018-05-13 08-AM,SALTETH,0.00421,0.004278,0.004209,0.004278,781.37,3.29
2018-05-13 07-AM,SALTETH,0.00421,0.00421,0.00421,0.00421,0.0,0.0
2018-05-13 06-AM,SALTETH,0.004184,0.00421,0.004184,0.00421,8.52,0.03586
2018-05-13 05-AM,SALTETH,0.004184,0.004184,0.004184,0.004184,0.0,0.0
2018-05-13 04-AM,SALTETH,0.004184,0.004184,0.004184,0.004184,0.0,0.0
2018-05-13 03-AM,SALTETH,0.004184,0.004184,0.004184,0.004184,0.0,0.0
2018-05-13 02-AM,SALTETH,0.004184,0.004184,0.004184,0.004184,0.0,0.0
2018-05-13 01-AM,SALTETH,0.004183,0.004186,0.004183,0.004184,30.33,0.1269
2018-05-13 12-AM,SALTETH,0.00413,0.004183,0.00413,0.004183,301.27,1.26
2018-05-12 11-PM,SALTETH,0.004196,0.004196,0.00413,0.00413,10.31,0.04259
2018-05-12 10-PM,SALTETH,0.004231,0.00424,0.004139,0.004196,1077.65,4.48
2018-05-12 09-PM,SALTETH,0.004229,0.004278,0.0042,0.004231,285.76,1.22
2018-05-12 08-PM,SALTETH,0.004111,0.004229,0.004111,0.004229,300.0,1.27
2018-05-12 07-PM,SALTETH,0.004111,0.004111,0.004111,0.004111,0.0,0.0
2018-05-12 06-PM,SALTETH,0.00413,0.00413,0.004111,0.004111,16.8,0.06907
2018-05-12 05-PM,SALTETH,0.004163,0.004163,0.00413,0.00413,453.34,1.87
2018-05-12 04-PM,SALTETH,0.004166,0.004166,0.004163,0.004163,4.69,0.01951
2018-05-12 03-PM,SALTETH,0.004217,0.004217,0.004166,0.004166,11.0,0.04583
2018-05-12 02-PM,SALTETH,0.004299,0.004299,0.004217,0.004217,354.2,1.5
2018-05-12 01-PM,SALTETH,0.004198,0.004407,0.004198,0.004299,8015.96,35.26
2018-05-12 12-PM,SALTETH,0.004198,0.004198,0.004198,0.004198,0.0,0.0
2018-05-12 11-AM,SALTETH,0.00429,0.00429,0.004198,0.004198,1194.43,5.1
2018-05-12 10-AM,SALTETH,0.004168,0.00429,0.004146,0.00429,784.36,3.27
2018-05-12 09-AM,SALTETH,0.003989,0.004168,0.003989,0.004168,130.35,0.5432
2018-05-12 08-AM,SALTETH,0.003989,0.003989,0.003989,0.003989,0.0,0.0
2018-05-12 07-AM,SALTETH,0.003989,0.003989,0.003989,0.003989,0.0,0.0
2018-05-12 06-AM,SALTETH,0.00398,0.004065,0.003978,0.003989,374.38,1.5
2018-05-12 05-AM,SALTETH,0.00405,0.00405,0.00398,0.00398,1470.38,5.95
2018-05-12 04-AM,SALTETH,0.004095,0.004095,0.00405,0.00405,183.19,0.7491
