Created on 05-19-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-05-19 12-AM,XLMETH,0.0004588,0.0004588,0.0004588,0.0004588,0.0,0.0
2018-05-18 11-PM,XLMETH,0.000459,0.000459,0.0004541,0.0004588,2313.93,1.06
2018-05-18 10-PM,XLMETH,0.0004562,0.000459,0.0004562,0.000459,442.91,0.2033
2018-05-18 09-PM,XLMETH,0.000456,0.000459,0.000454,0.0004562,2001.84,0.9113
2018-05-18 08-PM,XLMETH,0.000454,0.000458,0.000454,0.000456,2029.72,0.9275
2018-05-18 07-PM,XLMETH,0.0004539,0.0004567,0.0004539,0.000454,7141.3,3.26
2018-05-18 06-PM,XLMETH,0.0004531,0.0004539,0.000447,0.0004539,82333.65,37.3
2018-05-18 05-PM,XLMETH,0.000448,0.0004531,0.000448,0.0004531,150107.36,68.02
2018-05-18 04-PM,XLMETH,0.0004478,0.000448,0.0004477,0.000448,31837.35,14.26
2018-05-18 03-PM,XLMETH,0.00045,0.00045,0.0004462,0.0004478,14226.65,6.37
2018-05-18 02-PM,XLMETH,0.00045,0.00045,0.00045,0.00045,63909.26,28.76
2018-05-18 01-PM,XLMETH,0.0004527,0.0004551,0.00045,0.00045,30355.01,13.74
2018-05-18 12-PM,XLMETH,0.000454,0.000454,0.0004527,0.0004527,256.12,0.116
2018-05-18 11-AM,XLMETH,0.000454,0.000454,0.000454,0.000454,3280.83,1.49
2018-05-18 10-AM,XLMETH,0.0004562,0.0004562,0.000454,0.000454,1249.21,0.5675
2018-05-18 09-AM,XLMETH,0.0004618,0.0004618,0.0004542,0.0004562,551.24,0.2505
2018-05-18 08-AM,XLMETH,0.0004598,0.0004618,0.0004541,0.0004618,6282.23,2.87
2018-05-18 07-AM,XLMETH,0.0004575,0.0004598,0.0004533,0.0004598,23040.15,10.51
2018-05-18 06-AM,XLMETH,0.0004547,0.000458,0.0004533,0.0004575,4712.68,2.15
2018-05-18 05-AM,XLMETH,0.0004573,0.000458,0.0004547,0.0004547,6711.87,3.05
2018-05-18 04-AM,XLMETH,0.0004573,0.0004573,0.0004573,0.0004573,0.0,0.0
2018-05-18 03-AM,XLMETH,0.0004521,0.000458,0.0004521,0.0004573,20071.87,9.19
2018-05-18 02-AM,XLMETH,0.0004569,0.0004584,0.0004521,0.0004521,3204.32,1.46
2018-05-18 01-AM,XLMETH,0.0004593,0.0004593,0.000455,0.0004569,4641.2,2.11
2018-05-18 12-AM,XLMETH,0.0004556,0.0004622,0.0004556,0.0004593,1531.75,0.7025
2018-05-17 11-PM,XLMETH,0.0004588,0.0004588,0.0004556,0.0004556,1010.32,0.4616
2018-05-17 10-PM,XLMETH,0.0004524,0.000461,0.0004524,0.0004588,1515.5,0.6959
2018-05-17 09-PM,XLMETH,0.000463,0.000463,0.00045,0.0004524,15050.41,6.91
2018-05-17 08-PM,XLMETH,0.0004645,0.000465,0.000461,0.000463,10997.77,5.07
2018-05-17 07-PM,XLMETH,0.0004651,0.0004695,0.0004622,0.0004645,14437.51,6.75
2018-05-17 06-PM,XLMETH,0.0004682,0.0004695,0.0004651,0.0004651,6813.12,3.2
2018-05-17 05-PM,XLMETH,0.0004651,0.00047,0.0004651,0.0004682,12873.54,6.05
2018-05-17 04-PM,XLMETH,0.0004651,0.00047,0.0004651,0.0004651,2799.51,1.31
2018-05-17 03-PM,XLMETH,0.0004691,0.0004692,0.0004651,0.0004651,9318.34,4.36
2018-05-17 02-PM,XLMETH,0.000467,0.0004691,0.000466,0.0004691,1646.3,0.7676
2018-05-17 01-PM,XLMETH,0.000467,0.0004689,0.000467,0.000467,6008.58,2.81
2018-05-17 12-PM,XLMETH,0.0004692,0.0004692,0.000467,0.000467,6935.81,3.24
2018-05-17 11-AM,XLMETH,0.000467,0.0004692,0.000467,0.0004692,20.0,0.009385
2018-05-17 10-AM,XLMETH,0.000467,0.0004675,0.000467,0.000467,15.1,0.007058
2018-05-17 09-AM,XLMETH,0.000469,0.000469,0.000467,0.000467,2450.52,1.14
2018-05-17 08-AM,XLMETH,0.000475,0.000475,0.000469,0.000469,139.26,0.06541
2018-05-17 07-AM,XLMETH,0.0004749,0.000475,0.00047,0.000475,498.89,0.236
2018-05-17 06-AM,XLMETH,0.0004717,0.000475,0.00047,0.0004749,8862.0,4.2
2018-05-17 05-AM,XLMETH,0.0004673,0.0004717,0.0004673,0.0004717,1139.03,0.5364
2018-05-17 04-AM,XLMETH,0.0004718,0.0004718,0.0004673,0.0004673,10795.49,5.08
2018-05-17 03-AM,XLMETH,0.000472,0.0004775,0.0004718,0.0004718,1685.54,0.7985
2018-05-17 02-AM,XLMETH,0.000474,0.000478,0.000472,0.000472,25324.34,12.04
2018-05-17 01-AM,XLMETH,0.0004729,0.000474,0.0004728,0.000474,36120.55,17.09
2018-05-17 12-AM,XLMETH,0.0004666,0.0004729,0.0004666,0.0004729,2499.16,1.18
2018-05-16 11-PM,XLMETH,0.000467,0.0004707,0.0004666,0.0004666,2032.21,0.9513
