Created on 05-19-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-05-19 12-AM,XRPETH,0.000975,0.000975,0.000975,0.000975,0.0,0.0
2018-05-18 11-PM,XRPETH,0.0009844,0.0009849,0.000975,0.000975,9587.54,9.38
2018-05-18 10-PM,XRPETH,0.00099,0.00099,0.0009778,0.0009844,4095.27,4.02
2018-05-18 09-PM,XRPETH,0.00099,0.00099,0.0009808,0.00099,7689.4,7.61
2018-05-18 08-PM,XRPETH,0.0009837,0.00099,0.0009779,0.00099,4005.29,3.96
2018-05-18 07-PM,XRPETH,0.0009817,0.0009845,0.000975,0.0009837,875.22,0.8579
2018-05-18 06-PM,XRPETH,0.0009766,0.0009817,0.00097,0.0009817,129842.93,125.97
2018-05-18 05-PM,XRPETH,0.0009775,0.0009858,0.0009766,0.0009766,3584.82,3.51
2018-05-18 04-PM,XRPETH,0.0009745,0.0009859,0.0009745,0.0009775,196.75,0.1938
2018-05-18 03-PM,XRPETH,0.0009757,0.000989,0.0009745,0.0009745,4258.89,4.18
2018-05-18 02-PM,XRPETH,0.000978,0.0009816,0.0009707,0.0009757,22686.79,22.1
2018-05-18 01-PM,XRPETH,0.0009772,0.000988,0.000976,0.000978,9150.44,8.99
2018-05-18 12-PM,XRPETH,0.000981,0.000988,0.0009772,0.0009772,3256.79,3.19
2018-05-18 11-AM,XRPETH,0.000987,0.000987,0.0009809,0.000981,9012.27,8.85
2018-05-18 10-AM,XRPETH,0.000982,0.0009899,0.0009811,0.000987,3846.31,3.78
2018-05-18 09-AM,XRPETH,0.000982,0.000991,0.000982,0.000982,3049.43,3.01
2018-05-18 08-AM,XRPETH,0.0009825,0.00099,0.0009812,0.000982,7655.84,7.55
2018-05-18 07-AM,XRPETH,0.0009796,0.00099,0.0009749,0.0009825,910101.76,891.6
2018-05-18 06-AM,XRPETH,0.000986,0.000986,0.0009796,0.0009796,111260.61,108.99
2018-05-18 05-AM,XRPETH,0.000986,0.000986,0.0009804,0.000986,1320.87,1.3
2018-05-18 04-AM,XRPETH,0.0009899,0.0009899,0.0009796,0.000986,267281.9,261.86
2018-05-18 03-AM,XRPETH,0.0009892,0.00099,0.0009796,0.0009899,6261.73,6.19
