Created on 05-19-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-05-19 12-AM,ZECETH,0.5157,0.5376,0.5157,0.5376,28.29,14.95
2018-05-18 11-PM,ZECETH,0.498,0.5162,0.498,0.5157,5.7,2.91
2018-05-18 10-PM,ZECETH,0.5092,0.512,0.498,0.498,17.01,8.51
2018-05-18 09-PM,ZECETH,0.5139,0.5141,0.5092,0.5092,1.92,0.9814
2018-05-18 08-PM,ZECETH,0.526,0.526,0.5139,0.5139,2.3,1.2
2018-05-18 07-PM,ZECETH,0.52,0.526,0.5145,0.526,34.39,17.98
2018-05-18 06-PM,ZECETH,0.5121,0.52,0.5064,0.52,5.26,2.69
2018-05-18 05-PM,ZECETH,0.5166,0.5166,0.5121,0.5121,14.54,7.51
2018-05-18 04-PM,ZECETH,0.5211,0.5231,0.5092,0.5166,6.97,3.59
2018-05-18 03-PM,ZECETH,0.518,0.5241,0.515,0.5211,8.48,4.4
2018-05-18 02-PM,ZECETH,0.5181,0.5315,0.518,0.518,26.28,13.77
2018-05-18 01-PM,ZECETH,0.5339,0.5391,0.5176,0.5181,58.78,30.99
2018-05-18 12-PM,ZECETH,0.4943,0.5339,0.4935,0.5339,35.52,18.52
2018-05-18 11-AM,ZECETH,0.5035,0.5052,0.4931,0.4943,21.64,10.74
2018-05-18 10-AM,ZECETH,0.502,0.505,0.502,0.5035,0.836,0.4209
2018-05-18 09-AM,ZECETH,0.502,0.5104,0.502,0.502,42.24,21.21
2018-05-18 08-AM,ZECETH,0.499,0.5091,0.4954,0.502,21.21,10.65
2018-05-18 07-AM,ZECETH,0.4961,0.51,0.4961,0.499,41.81,21.17
2018-05-18 06-AM,ZECETH,0.5185,0.5185,0.4954,0.4961,19.84,10.0
2018-05-18 05-AM,ZECETH,0.5129,0.5185,0.5055,0.5185,7.87,4.03
2018-05-18 04-AM,ZECETH,0.4993,0.5346,0.4993,0.5129,554.81,292.64
2018-05-18 03-AM,ZECETH,0.4697,0.5102,0.4697,0.4993,35.16,17.42
2018-05-18 02-AM,ZECETH,0.4601,0.4719,0.4573,0.4697,51.66,23.71
2018-05-18 01-AM,ZECETH,0.4627,0.4659,0.4601,0.4601,6.19,2.86
2018-05-18 12-AM,ZECETH,0.4712,0.4758,0.46,0.4627,9.87,4.64
2018-05-17 11-PM,ZECETH,0.4725,0.4758,0.4678,0.4712,4.69,2.2
2018-05-17 10-PM,ZECETH,0.4689,0.4758,0.4651,0.4725,25.92,12.16
2018-05-17 09-PM,ZECETH,0.4729,0.4735,0.4689,0.4689,18.72,8.81
2018-05-17 08-PM,ZECETH,0.4755,0.4755,0.47,0.4729,8.23,3.87
2018-05-17 07-PM,ZECETH,0.4787,0.4787,0.4755,0.4755,0.037,0.01761
2018-05-17 06-PM,ZECETH,0.4715,0.4793,0.4715,0.4787,5.1,2.43
2018-05-17 05-PM,ZECETH,0.4761,0.479,0.471,0.4715,13.05,6.17
2018-05-17 04-PM,ZECETH,0.4799,0.4799,0.4734,0.4761,1.42,0.6772
2018-05-17 03-PM,ZECETH,0.4847,0.487,0.4799,0.4799,15.42,7.45
2018-05-17 02-PM,ZECETH,0.485,0.4882,0.4847,0.4847,9.87,4.81
2018-05-17 01-PM,ZECETH,0.4909,0.4937,0.48,0.485,105.66,50.77
2018-05-17 12-PM,ZECETH,0.4947,0.4961,0.4909,0.4909,62.86,31.16
2018-05-17 11-AM,ZECETH,0.4909,0.5001,0.4909,0.4947,8.65,4.29
2018-05-17 10-AM,ZECETH,0.5009,0.5009,0.4853,0.4909,13.79,6.75
2018-05-17 09-AM,ZECETH,0.503,0.503,0.49,0.5009,15.36,7.67
2018-05-17 08-AM,ZECETH,0.5034,0.5076,0.5029,0.503,9.56,4.81
2018-05-17 07-AM,ZECETH,0.5029,0.51,0.5029,0.5034,4.28,2.16
2018-05-17 06-AM,ZECETH,0.5053,0.5053,0.5029,0.5029,3.27,1.65
2018-05-17 05-AM,ZECETH,0.508,0.5082,0.5053,0.5053,8.65,4.37
2018-05-17 04-AM,ZECETH,0.5096,0.5125,0.508,0.508,4.86,2.49
2018-05-17 03-AM,ZECETH,0.5024,0.512,0.5024,0.5096,5.71,2.91
2018-05-17 02-AM,ZECETH,0.5015,0.5103,0.4942,0.5024,33.73,16.88
2018-05-17 01-AM,ZECETH,0.5133,0.5133,0.5,0.5015,5.45,2.73
2018-05-17 12-AM,ZECETH,0.5119,0.5204,0.5103,0.5133,21.66,11.22
2018-05-16 11-PM,ZECETH,0.5194,0.5194,0.5119,0.5119,2.48,1.27
2018-05-16 10-PM,ZECETH,0.4966,0.526,0.4966,0.5194,73.53,38.12
2018-05-16 09-PM,ZECETH,0.5036,0.5036,0.4966,0.4966,2.45,1.23
2018-05-16 08-PM,ZECETH,0.5072,0.5107,0.5013,0.5036,4.3,2.18
2018-05-16 07-PM,ZECETH,0.506,0.5093,0.5035,0.5072,3.39,1.72
2018-05-16 06-PM,ZECETH,0.5103,0.5113,0.506,0.506,1.99,1.02
2018-05-16 05-PM,ZECETH,0.5146,0.5218,0.5031,0.5103,80.53,40.74
2018-05-16 04-PM,ZECETH,0.5272,0.5272,0.5067,0.5146,36.2,18.64
2018-05-16 03-PM,ZECETH,0.5327,0.535,0.5245,0.5272,35.17,18.67
2018-05-16 02-PM,ZECETH,0.5184,0.5329,0.5184,0.5327,43.6,22.86
2018-05-16 01-PM,ZECETH,0.5216,0.5303,0.5151,0.5184,75.48,39.49
2018-05-16 12-PM,ZECETH,0.51,0.529,0.5079,0.5216,50.62,26.42
2018-05-16 11-AM,ZECETH,0.5235,0.5235,0.51,0.51,10.53,5.49
2018-05-16 10-AM,ZECETH,0.5182,0.5328,0.5128,0.5235,122.03,64.19
2018-05-16 09-AM,ZECETH,0.5208,0.54,0.5182,0.5182,104.65,55.88
2018-05-16 08-AM,ZECETH,0.5055,0.5262,0.4992,0.5208,82.98,42.93
2018-05-16 07-AM,ZECETH,0.49,0.5055,0.49,0.5055,44.77,22.25
2018-05-16 06-AM,ZECETH,0.4897,0.493,0.4897,0.49,4.57,2.24
2018-05-16 05-AM,ZECETH,0.4887,0.4916,0.4851,0.4897,15.52,7.59
2018-05-16 04-AM,ZECETH,0.4755,0.4887,0.4737,0.4887,27.46,13.09
2018-05-16 03-AM,ZECETH,0.4852,0.4901,0.4755,0.4755,21.95,10.64
2018-05-16 02-AM,ZECETH,0.4768,0.4986,0.4768,0.4852,27.63,13.47
2018-05-16 01-AM,ZECETH,0.4893,0.4893,0.4734,0.4768,17.59,8.41
2018-05-16 12-AM,ZECETH,0.4978,0.4983,0.4893,0.4893,52.46,25.84
