Created on 05-19-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-05-19 12-AM,REPETH,0.07977,0.07977,0.07911,0.07911,25.1,1.99
2018-05-18 11-PM,REPETH,0.07837,0.07977,0.07815,0.07977,251.51,19.94
2018-05-18 10-PM,REPETH,0.07548,0.07837,0.07548,0.07837,205.19,16.04
2018-05-18 09-PM,REPETH,0.07661,0.07661,0.07548,0.07548,10.72,0.8095
2018-05-18 08-PM,REPETH,0.0755,0.07669,0.07548,0.07661,26.99,2.05
2018-05-18 07-PM,REPETH,0.07666,0.07731,0.0755,0.0755,80.77,6.16
2018-05-18 06-PM,REPETH,0.07837,0.07837,0.076,0.07666,140.93,10.91
2018-05-18 05-PM,REPETH,0.07638,0.07837,0.07638,0.07837,18.1,1.42
2018-05-18 04-PM,REPETH,0.07669,0.07677,0.07638,0.07638,2.11,0.1615
2018-05-18 03-PM,REPETH,0.07754,0.07754,0.07669,0.07669,55.35,4.24
2018-05-18 02-PM,REPETH,0.07736,0.07754,0.07704,0.07754,50.3,3.88
2018-05-18 01-PM,REPETH,0.07638,0.07785,0.07638,0.07736,0.2591,0.02009
2018-05-18 12-PM,REPETH,0.07684,0.07738,0.07625,0.07638,32.57,2.5
2018-05-18 11-AM,REPETH,0.07919,0.07919,0.07627,0.07684,20.09,1.56
2018-05-18 10-AM,REPETH,0.07903,0.07922,0.07792,0.07919,11.72,0.9246
2018-05-18 09-AM,REPETH,0.07792,0.07903,0.07792,0.07903,10.45,0.8255
2018-05-18 08-AM,REPETH,0.07702,0.07792,0.07679,0.07792,0.654,0.05045
2018-05-18 07-AM,REPETH,0.0778,0.079,0.07702,0.07702,93.18,7.25
2018-05-18 06-AM,REPETH,0.07696,0.0778,0.07679,0.0778,2.82,0.2194
2018-05-18 05-AM,REPETH,0.078,0.07842,0.07696,0.07696,25.73,2.0
2018-05-18 04-AM,REPETH,0.079,0.079,0.078,0.078,8.9,0.6991
2018-05-18 03-AM,REPETH,0.08098,0.08098,0.079,0.079,4.05,0.3238
2018-05-18 02-AM,REPETH,0.08098,0.08098,0.08098,0.08098,0.0,0.0
2018-05-18 01-AM,REPETH,0.07991,0.08131,0.07904,0.08098,12.58,1.01
2018-05-18 12-AM,REPETH,0.08359,0.087,0.07991,0.07991,315.4,26.97
2018-05-17 11-PM,REPETH,0.08074,0.08643,0.08022,0.08359,443.36,37.62
2018-05-17 10-PM,REPETH,0.08358,0.0843,0.08022,0.08074,64.31,5.29
2018-05-17 09-PM,REPETH,0.07985,0.08358,0.07985,0.08358,18.67,1.53
2018-05-17 08-PM,REPETH,0.08042,0.08182,0.07985,0.07985,19.66,1.6
2018-05-17 07-PM,REPETH,0.08067,0.08182,0.08006,0.08042,6.99,0.568
2018-05-17 06-PM,REPETH,0.083,0.08342,0.07963,0.08067,125.38,10.1
2018-05-17 05-PM,REPETH,0.083,0.083,0.083,0.083,0.0,0.0
2018-05-17 04-PM,REPETH,0.08225,0.08417,0.082,0.083,365.5,30.5
2018-05-17 03-PM,REPETH,0.08301,0.08301,0.08158,0.08225,78.76,6.53
2018-05-17 02-PM,REPETH,0.08345,0.0865,0.081,0.08301,172.1,14.42
2018-05-17 01-PM,REPETH,0.08261,0.08642,0.08178,0.08345,357.95,30.3
2018-05-17 12-PM,REPETH,0.07793,0.08827,0.07793,0.08261,590.97,49.29
