Created on 05-19-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-05-19 12-AM,ZRXETH,0.001904,0.001904,0.001874,0.001874,0.0,0.0
2018-05-18 11-PM,ZRXETH,0.001891,0.001904,0.001872,0.001904,69.51,0.1306
2018-05-18 10-PM,ZRXETH,0.001934,0.001934,0.001886,0.001891,74.13,0.1407
2018-05-18 09-PM,ZRXETH,0.001934,0.001934,0.001934,0.001934,0.0,0.0
2018-05-18 08-PM,ZRXETH,0.001912,0.001934,0.001912,0.001934,281.76,0.5423
2018-05-18 07-PM,ZRXETH,0.001874,0.001925,0.001874,0.001912,316.92,0.6042
2018-05-18 06-PM,ZRXETH,0.001862,0.001874,0.001862,0.001874,2829.92,5.29
2018-05-18 05-PM,ZRXETH,0.001873,0.001873,0.001862,0.001862,216.53,0.4039
2018-05-18 04-PM,ZRXETH,0.00184,0.001897,0.00184,0.001873,1050.91,1.96
2018-05-18 03-PM,ZRXETH,0.001854,0.001854,0.00184,0.00184,14244.57,26.4
2018-05-18 02-PM,ZRXETH,0.001864,0.001864,0.001854,0.001854,61.49,0.1141
2018-05-18 01-PM,ZRXETH,0.001875,0.001887,0.001864,0.001864,548.59,1.03
2018-05-18 12-PM,ZRXETH,0.001924,0.001924,0.001875,0.001875,1647.18,3.1
2018-05-18 11-AM,ZRXETH,0.001914,0.001934,0.001914,0.001924,2112.85,4.05
2018-05-18 10-AM,ZRXETH,0.001924,0.001938,0.001913,0.001914,2166.98,4.15
2018-05-18 09-AM,ZRXETH,0.001903,0.001924,0.001903,0.001924,2002.0,3.85
2018-05-18 08-AM,ZRXETH,0.001923,0.001946,0.001903,0.001903,1257.98,2.44
2018-05-18 07-AM,ZRXETH,0.001891,0.001923,0.001891,0.001923,6317.66,12.05
2018-05-18 06-AM,ZRXETH,0.001902,0.001904,0.001891,0.001891,2467.97,4.67
2018-05-18 05-AM,ZRXETH,0.001867,0.001902,0.001867,0.001902,1122.43,2.13
2018-05-18 04-AM,ZRXETH,0.001865,0.001929,0.001865,0.001867,5794.88,10.9
2018-05-18 03-AM,ZRXETH,0.001866,0.001866,0.001848,0.001865,1002.11,1.85
2018-05-18 02-AM,ZRXETH,0.001853,0.001866,0.001847,0.001866,4376.36,8.1
2018-05-18 01-AM,ZRXETH,0.001826,0.001853,0.001826,0.001853,2789.96,5.14
2018-05-18 12-AM,ZRXETH,0.001852,0.001858,0.001826,0.001826,198.45,0.3645
